iter	RMSE
0	20002.42674
1	19479.52659
2	18980.15581
3	18492.95819
4	18029.57337
5	17574.50198
6	17134.1293
7	16710.01232
8	16293.74143
9	15898.74002
10	15515.41181
11	15146.44622
12	14782.53623
13	14432.80359
14	14102.50836
15	13777.54152
16	13462.53604
17	13169.07132
18	12875.87759
19	12596.67977
20	12329.73856
21	12066.13243
22	11812.04929
23	11569.20417
24	11338.79733
25	11109.19075
26	10886.58387
27	10675.78997
28	10477.5821
29	10281.70507
30	10095.19638
31	9926.789512
32	9757.350553
33	9593.901062
34	9431.259908
35	9298.059013
36	9158.610392
37	9015.211906
38	8874.876243
39	8744.466682
40	8619.701377
41	8503.984305
42	8389.198248
43	8271.942277
44	8160.49185
45	8064.724437
46	7964.892657
47	7866.012692
48	7774.885851
49	7686.008293
50	7602.559821
51	7526.669204
52	7452.502979
53	7384.868098
54	7319.039143
55	7248.797182
56	7181.29346
57	7118.87169
58	7057.255271
59	7000.865218
60	6947.729366
61	6901.983018
62	6855.583603
63	6807.277333
64	6760.109249
65	6714.622077
66	6672.015371
67	6638.321069
68	6597.963637
69	6564.947267
70	6533.396113
71	6492.436872
72	6457.579009
73	6426.465044
74	6403.183502
75	6374.914137
76	6349.988448
77	6323.345414
78	6299.696816
79	6276.095104
80	6249.537485
81	6224.715977
82	6203.649167
83	6184.421191
84	6160.855004
85	6139.490551
86	6121.310361
87	6103.413951
88	6087.638399
89	6070.939192
90	6052.982746
91	6038.561607
92	6021.790537
93	6007.758734
94	5988.793172
95	5973.267409
96	5956.432815
97	5942.253879
98	5923.802589
99	5911.721337
100	5899.733623
101	5888.643771
102	5875.999006
103	5865.012354
104	5853.764008
105	5844.692488
106	5827.658313
107	5814.390251
108	5803.457283
109	5791.154043
110	5782.497701
111	5772.49837
112	5764.973684
113	5757.078037
114	5747.307509
115	5735.787975
116	5727.658675
117	5721.742375
118	5712.503418
119	5703.853856
120	5692.775391
121	5685.049295
122	5674.81467
123	5666.841961
124	5657.465323
125	5647.55934
126	5636.818864
127	5630.012309
128	5617.299694
129	5612.199544
130	5602.135584
131	5595.893866
132	5589.124193
133	5584.81169
134	5579.15438
135	5571.498573
136	5557.818008
137	5551.398253
138	5540.240966
139	5532.875697
140	5526.992271
141	5519.985798
142	5512.769956
143	5507.780195
144	5502.806418
145	5495.998611
146	5486.576972
147	5481.596015
148	5476.241272
149	5467.597935
150	5464.478221
151	5458.994959
152	5452.703788
153	5448.384355
154	5444.122356
155	5438.682577
156	5435.373266
157	5428.89794
158	5423.411649
159	5420.709527
160	5416.705946
161	5412.063155
162	5409.602256
163	5404.09691
164	5400.897996
165	5396.751851
166	5392.39249
167	5387.821342
168	5376.257268
169	5366.176313
170	5364.080281
171	5361.627353
172	5354.424112
173	5349.597247
174	5344.233599
175	5339.299501
176	5334.619501
177	5332.374282
178	5330.116996
179	5326.542416
180	5323.619506
181	5319.213318
182	5316.183614
183	5314.868376
184	5308.37849
185	5302.416489
186	5296.905273
187	5292.210588
188	5289.34712
189	5285.163966
190	5281.418578
191	5275.773789
192	5274.733163
193	5269.493681
194	5265.645305
195	5264.166465
196	5258.307143
197	5254.773673
198	5250.516865
199	5247.859762
