iter	Passed	Remaining
0	2	553
1	5	537
2	8	534
3	10	529
4	13	529
5	16	525
6	19	530
7	21	527
8	25	534
9	27	529
10	30	524
11	33	524
12	36	520
13	38	514
14	41	510
15	44	506
16	46	505
17	50	508
18	53	505
19	55	501
20	58	498
21	61	494
22	64	493
23	66	489
24	69	485
25	74	497
26	77	495
27	81	499
28	84	495
29	86	491
30	89	487
31	92	487
32	95	483
33	98	479
34	100	475
35	103	471
36	106	467
37	109	468
38	113	469
39	118	472
40	122	474
41	125	470
42	127	466
43	130	464
44	134	464
45	139	465
46	142	464
47	148	469
48	152	468
49	155	467
50	158	462
51	161	458
52	166	462
53	170	460
54	177	467
55	181	465
56	184	461
57	186	457
58	190	454
59	193	451
60	196	447
61	201	448
62	205	447
63	208	443
64	211	439
65	218	443
66	221	439
67	224	434
68	227	431
69	230	428
70	233	424
71	236	420
72	239	416
73	242	412
74	245	408
75	248	404
76	250	400
77	253	396
78	256	392
79	260	390
80	263	387
81	266	383
82	269	379
83	272	376
84	276	374
85	279	370
86	282	366
87	284	362
88	287	358
89	290	354
90	292	350
91	296	347
92	299	344
93	302	340
94	304	336
95	307	333
96	316	335
97	319	332
98	326	333
99	329	329
100	332	325
101	335	322
102	338	319
103	341	315
104	344	311
105	347	307
106	349	304
107	352	300
108	355	296
109	358	293
110	362	290
111	364	286
112	367	282
113	370	279
114	372	275
115	375	272
116	378	268
117	380	264
118	384	261
119	387	258
120	390	254
121	392	251
122	395	247
123	397	243
124	404	242
125	408	239
126	412	236
127	417	234
128	421	232
129	428	230
130	435	229
131	438	226
132	442	223
133	447	220
134	451	217
135	454	213
136	457	210
137	459	206
138	466	204
139	469	201
140	472	197
141	475	194
142	478	190
143	481	187
144	483	183
145	486	180
146	495	178
147	499	175
148	502	171
149	504	168
150	507	164
151	510	161
152	513	157
153	516	154
154	519	150
155	522	147
156	525	143
157	527	140
158	530	136
159	533	133
160	536	129
161	539	126
162	541	123
163	544	119
164	548	116
165	551	112
166	554	109
167	557	106
168	560	102
169	563	99
170	567	96
171	569	92
172	572	89
173	575	86
174	578	82
175	581	79
176	584	75
177	587	72
178	590	69
179	593	65
180	596	62
181	599	59
182	602	55
183	604	52
184	608	49
185	611	46
186	614	42
187	617	39
188	620	36
189	622	32
190	625	29
191	629	26
192	631	22
193	634	19
194	637	16
195	639	13
196	642	9
197	645	6
198	648	3
199	651	0
